subject_length,body_length,total_length,word_count,avg_word_length,unique_word_ratio,uppercase_ratio,digit_ratio,punctuation_ratio,exclamation_count,question_count,colon_count,url_count,email_count,phone_count,currency_symbol_count,attachment_hint,dear_greeting,contains_date_like,job_keyword_count,candidate_keyword_count,recruiting_keyword_count,compensation_keyword_count,business_keyword_count,support_keyword_count,job_signal_ratio,non_job_signal_ratio,is_job
40.0,503.0,544.0,89.0,4.98876404494382,0.797752808988764,0.04081632653061224,0.0055147058823529415,0.025735294117647058,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011235955056179775,0
30.0,405.0,436.0,76.0,4.618421052631579,0.7763157894736842,0.039886039886039885,0.0,0.02522935779816514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.06578947368421052,0
31.0,482.0,514.0,85.0,4.9411764705882355,0.7764705882352941,0.045454545454545456,0.0038910505836575876,0.019455252918287938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.08235294117647059,0
44.0,334.0,379.0,66.0,4.5606060606060606,0.7272727272727273,0.09427609427609428,0.010554089709762533,0.0316622691292876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06060606060606061,0
41.0,458.0,500.0,85.0,4.752941176470588,0.8,0.045,0.008,0.028,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.10588235294117647,0
31.0,381.0,413.0,70.0,4.771428571428571,0.8142857142857143,0.048484848484848485,0.009685230024213076,0.026634382566585957,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.11428571428571428,0
38.0,322.0,361.0,55.0,5.254545454545455,0.8,0.07958477508650519,0.0,0.04986149584487535,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01818181818181818,0
33.0,357.0,391.0,70.0,4.514285714285714,0.7285714285714285,0.028481012658227847,0.0,0.015345268542199489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.07142857142857142,0
33.0,294.0,328.0,54.0,4.962962962962963,0.8333333333333334,0.045454545454545456,0.012195121951219513,0.024390243902439025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.1111111111111111,0
45.0,309.0,355.0,54.0,5.407407407407407,0.8148148148148148,0.05136986301369863,0.0,0.028169014084507043,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.018518518518518517,0
38.0,331.0,370.0,63.0,4.682539682539683,0.873015873015873,0.06143344709897611,0.005405405405405406,0.03783783783783784,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015873015873015872,0
29.0,347.0,377.0,62.0,4.967741935483871,0.8387096774193549,0.046052631578947366,0.010610079575596816,0.023872679045092837,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.11290322580645161,0
31.0,411.0,443.0,75.0,4.786666666666667,0.7333333333333333,0.04507042253521127,0.009029345372460496,0.024830699774266364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.09333333333333334,0
